t,x,y,z,vx,vy,vz,speed,target_error,target_age_s,obstacle_clearance,goal_distance
0.0,-22.171382942537615,6.061516139012107,1.4844518697004978,8.669086315805973,-0.4031705261724524,1.7622142268374024,8.85556339288115,,,,
0.05,-22.777067177759548,6.037281722041993,1.4982062823565063,8.78695389671029,-0.4036791830171231,1.7862393454894667,8.975754378607302,,,,
0.1,-23.08297109453745,6.025047760852107,1.5051557799525004,8.845877350190463,-0.4041391052278662,1.798251532318896,9.035849881692053,,,,
0.15,-23.7009025263525,6.0003463418105305,1.5191993577013188,8.96370248185493,-0.4055053255204525,1.8222753873352864,9.15604086598163,,,,
0.2,-24.012930040663058,5.987878887177187,1.5262934379006932,9.022603839751003,-0.4064226373318191,1.8342872171897129,9.21613633820436,,,,
0.25,-24.643108663682735,5.962710492698535,1.5406261810929496,9.14038365662768,-0.4087456299492942,1.8583110690370719,9.33632724413914,,,,
0.3,-24.96125977159404,5.9500095533878925,1.5478648441313383,9.199262048441925,-0.4101563496813155,1.870323186219315,9.396422685681896,,,,
0.35,-25.603685579346987,5.924374189058954,1.5624867531385833,9.316995919657156,-0.4134818042245287,1.8943478316336493,9.516613571883015,,,,
0.4,-25.927960279327944,5.911439762846119,1.5698699990975842,9.375851547629338,-0.4153960991676181,1.9063602997672686,9.576709025281904,,,,
0.45,-26.582633272677548,5.8853374196774295,1.58478107385609,9.49354076196911,-0.41972050898438973,1.9303852943676219,9.696899962851113,,,,
0.5,-26.913031566622912,5.872169502217578,1.5923089026226402,9.552374644101969,-0.4221253770910264,1.9423977339169503,9.756995445934786,,,,
0.55,-27.245471059069708,5.8589237542248425,1.5998849256296492,9.61120160457354,-0.4246873284426168,1.954410097213314,9.8170909356482,,,,
0.6,-27.916473639930427,5.832198767885393,1.6151815543416272,9.728835548619974,-0.4302644608538037,1.9784345780771813,9.937281923046008,,,,
0.65,-28.25503672833991,5.818719530357315,1.6229021600483542,9.787642968446338,-0.433269145051657,1.990446722744138,9.997377415398185,,,,
0.7,-28.93828650056918,5.791527568366147,1.6384879541969957,9.905239923447576,-0.43968054629232445,2.014470948035626,10.117568389901162,,,,
0.75,-29.28297318407378,5.777814844255306,1.6463531426570552,9.964029998558287,-0.4430738081639876,2.0264830810614027,10.177663871904914,,,,
0.8,-29.97847014518146,5.750155909524333,1.6622281023859133,10.081594818067702,-0.450199008314349,2.0505074711712945,10.297854830599723,,,,
